Name,Parameter_ID,Value
Bislama,51,D
Tok Pisin,51,X
Hawaiʼi Creole,51,D
Falkland Islands English,51,D
St. Helena English,51,B
Tristan da Cunha English,51,C
Philippine English,51,X
Cape Flats English,51,D
Orkney and Shetland English,52,D
Scottish English,52,B
Irish English,52,D
Manx English,52,B
Welsh English,52,C
English dialects in the North of England,52,D
English dialects in the Southwest of England,52,?
East Anglian English,52,D
English dialects in the Southeast of England,52,C
Channel Islands English,52,D
British Creole,52,B
Maltese English,52,D
Newfoundland English,52,B
Colloquial American English,52,B
Urban African American Vernacular English,52,A
Rural African American Vernacular English,52,B
Earlier African American Vernacular English,52,D
Ozark English,52,A
Appalachian English,52,C
Southeast American enclave dialects,52,B
Gullah,52,A
Chicano English,52,?
Bahamian English,52,B
Bahamian Creole,52,A
Barbadian Creole (Bajan),52,A
Jamaican English,52,C
Jamaican Creole,52,A
San Andrés Creole,52,A
Belizean Creole,52,D
Guyanese Creole (Creolese),52,A
Eastern Maroon Creole,52,B
Saramaccan,52,D
Sranan,52,?
Trinidadian Creole,52,B
Vincentian Creole,52,A
Krio (Sierra Leone Creole),52,A
Liberian Settler English,52,B
Vernacular Liberian English,52,A
Ghanaian English,52,D
Ghanaian Pidgin,52,D
Nigerian English,52,D
Nigerian Pidgin,52,A
Cameroon English,52,C
Cameroon Pidgin,52,B
Tanzanian English,52,D
Kenyan English,52,X
Ugandan English,52,C
White Zimbabwean English,52,A
Black South African English,52,B
Indian South African English,52,A
White South African English,52,A
Indian English,52,D
Pakistani English,52,D
Butler English,52,X
Sri Lankan English,52,B
Hong Kong English,52,B
Colloquial Singapore English (Singlish),52,?
Malaysian English,52,D
Australian English,52,?
Australian Vernacular English,52,A
Aboriginal English,52,A
Roper River Creole (Kriol),52,?
Torres Strait Creole,52,D
New Zealand English,52,B
Norfolk Island/ Pitcairn English,52,C
Palmerston English,52,C
Acrolectal Fiji English,52,C
Pure Fiji English (basilectal FijiE),52,?
Bislama,52,D
Tok Pisin,52,?
Hawaiʼi Creole,52,A
Falkland Islands English,52,D
St. Helena English,52,B
Tristan da Cunha English,52,B
Philippine English,52,C
Cape Flats English,52,A
Orkney and Shetland English,53,D
Scottish English,53,D
Irish English,53,D
Manx English,53,D
Welsh English,53,D
English dialects in the North of England,53,D
English dialects in the Southwest of England,53,X
East Anglian English,53,D
English dialects in the Southeast of England,53,D
Channel Islands English,53,D
British Creole,53,D
Maltese English,53,B
Newfoundland English,53,?
Colloquial American English,53,D
Urban African American Vernacular English,53,C
Rural African American Vernacular English,53,C
Earlier African American Vernacular English,53,D
Ozark English,53,D
Appalachian English,53,D
Southeast American enclave dialects,53,D
Gullah,53,A
Chicano English,53,D
Bahamian English,53,C
Bahamian Creole,53,D
Barbadian Creole (Bajan),53,C
Jamaican English,53,?
Jamaican Creole,53,B
San Andrés Creole,53,D
Belizean Creole,53,D
Guyanese Creole (Creolese),53,X
Eastern Maroon Creole,53,X
Saramaccan,53,?
Sranan,53,D
Trinidadian Creole,53,D
Vincentian Creole,53,D
Krio (Sierra Leone Creole),53,D
Liberian Settler English,53,D
Vernacular Liberian English,53,C
Ghanaian English,53,D
Ghanaian Pidgin,53,D
Nigerian English,53,D
Nigerian Pidgin,53,D
Cameroon English,53,D
Cameroon Pidgin,53,D
Tanzanian English,53,X
Kenyan English,53,X
Ugandan English,53,D
White Zimbabwean English,53,D
Black South African English,53,D
Indian South African English,53,C
White South African English,53,D
Indian English,53,D
Pakistani English,53,D
Butler English,53,X
Sri Lankan English,53,D
Hong Kong English,53,D
Colloquial Singapore English (Singlish),53,D
Malaysian English,53,B
Australian English,53,X
Australian Vernacular English,53,X
Aboriginal English,53,A
Roper River Creole (Kriol),53,?
Torres Strait Creole,53,?
New Zealand English,53,D
Norfolk Island/ Pitcairn English,53,?
Palmerston English,53,?
Acrolectal Fiji English,53,X
Pure Fiji English (basilectal FijiE),53,A
Bislama,53,C
Tok Pisin,53,X
Hawaiʼi Creole,53,A
Falkland Islands English,53,D
St. Helena English,53,A
Tristan da Cunha English,53,C
Philippine English,53,C
Cape Flats English,53,D
Orkney and Shetland English,54,D
Scottish English,54,?
Irish English,54,B
Manx English,54,C
Welsh English,54,B
English dialects in the North of England,54,D
English dialects in the Southwest of England,54,?
East Anglian English,54,B
English dialects in the Southeast of England,54,?
Channel Islands English,54,?
British Creole,54,D
Maltese English,54,?
Newfoundland English,54,B
Colloquial American English,54,B
Urban African American Vernacular English,54,B
Rural African American Vernacular English,54,B
Earlier African American Vernacular English,54,D
Ozark English,54,B
Appalachian English,54,D
Southeast American enclave dialects,54,B
Gullah,54,?
Chicano English,54,D
Bahamian English,54,B
Bahamian Creole,54,C
Barbadian Creole (Bajan),54,A
Jamaican English,54,?
Jamaican Creole,54,B
San Andrés Creole,54,D
Belizean Creole,54,D
Guyanese Creole (Creolese),54,X
Eastern Maroon Creole,54,X
Saramaccan,54,D
Sranan,54,D
Trinidadian Creole,54,C
Vincentian Creole,54,D
Krio (Sierra Leone Creole),54,D
Liberian Settler English,54,B
Vernacular Liberian English,54,B
Ghanaian English,54,D
Ghanaian Pidgin,54,D
Nigerian English,54,D
Nigerian Pidgin,54,C
Cameroon English,54,D
Cameroon Pidgin,54,?
Tanzanian English,54,D
Kenyan English,54,?
Ugandan English,54,D
White Zimbabwean English,54,B
Black South African English,54,B
Indian South African English,54,A
White South African English,54,C
Indian English,54,A
Pakistani English,54,D
Butler English,54,C
Sri Lankan English,54,D
Hong Kong English,54,D
Colloquial Singapore English (Singlish),54,B
Malaysian English,54,A
Australian English,54,?
Australian Vernacular English,54,B
Aboriginal English,54,?
Roper River Creole (Kriol),54,X
Torres Strait Creole,54,X
New Zealand English,54,B
Norfolk Island/ Pitcairn English,54,?
Palmerston English,54,X
Acrolectal Fiji English,54,?
Pure Fiji English (basilectal FijiE),54,B
Bislama,54,X
Tok Pisin,54,X
Hawaiʼi Creole,54,C
Falkland Islands English,54,C
St. Helena English,54,?
Tristan da Cunha English,54,C
Philippine English,54,C
Cape Flats English,54,B
Orkney and Shetland English,55,D
Scottish English,55,D
Irish English,55,D
Manx English,55,D
Welsh English,55,D
English dialects in the North of England,55,D
English dialects in the Southwest of England,55,?
East Anglian English,55,D
English dialects in the Southeast of England,55,D
Channel Islands English,55,D
British Creole,55,D
Maltese English,55,B
Newfoundland English,55,?
Colloquial American English,55,D
Urban African American Vernacular English,55,B
Rural African American Vernacular English,55,B
Earlier African American Vernacular English,55,D
Ozark English,55,D
Appalachian English,55,C
Southeast American enclave dialects,55,B
Gullah,55,D
Chicano English,55,D
Bahamian English,55,B
Bahamian Creole,55,B
Barbadian Creole (Bajan),55,D
Jamaican English,55,B
Jamaican Creole,55,C
San Andrés Creole,55,C
Belizean Creole,55,D
Guyanese Creole (Creolese),55,A
Eastern Maroon Creole,55,X
Saramaccan,55,?
Sranan,55,D
Trinidadian Creole,55,B
Vincentian Creole,55,D
Krio (Sierra Leone Creole),55,B
Liberian Settler English,55,B
Vernacular Liberian English,55,A
Ghanaian English,55,B
Ghanaian Pidgin,55,B
Nigerian English,55,A
Nigerian Pidgin,55,D
Cameroon English,55,A
Cameroon Pidgin,55,B
Tanzanian English,55,B
Kenyan English,55,A
Ugandan English,55,B
White Zimbabwean English,55,B
Black South African English,55,A
Indian South African English,55,A
White South African English,55,D
Indian English,55,A
Pakistani English,55,C
Butler English,55,A
Sri Lankan English,55,B
Hong Kong English,55,A
Colloquial Singapore English (Singlish),55,B
Malaysian English,55,A
Australian English,55,C
Australian Vernacular English,55,X
Aboriginal English,55,A
Roper River Creole (Kriol),55,X
Torres Strait Creole,55,X
New Zealand English,55,D
Norfolk Island/ Pitcairn English,55,X
Palmerston English,55,B
Acrolectal Fiji English,55,B
Pure Fiji English (basilectal FijiE),55,A
Bislama,55,X
Tok Pisin,55,X
Hawaiʼi Creole,55,A
Falkland Islands English,55,D
St. Helena English,55,C
Tristan da Cunha English,55,D
Philippine English,55,B
Cape Flats English,55,D
Orkney and Shetland English,56,B
Scottish English,56,D
Irish English,56,B
Manx English,56,D
Welsh English,56,B
English dialects in the North of England,56,B
English dialects in the Southwest of England,56,B
East Anglian English,56,A
English dialects in the Southeast of England,56,B
Channel Islands English,56,B
British Creole,56,D
Maltese English,56,C
Newfoundland English,56,B
Colloquial American English,56,B
Urban African American Vernacular English,56,C
Rural African American Vernacular English,56,B
Earlier African American Vernacular English,56,X
Ozark English,56,B
Appalachian English,56,B
Southeast American enclave dialects,56,A
Gullah,56,A
Chicano English,56,C
Bahamian English,56,A
Bahamian Creole,56,D
Barbadian Creole (Bajan),56,D
Jamaican English,56,D
Jamaican Creole,56,D
San Andrés Creole,56,A
Belizean Creole,56,D
Guyanese Creole (Creolese),56,D
Eastern Maroon Creole,56,X
Saramaccan,56,X
Sranan,56,D
Trinidadian Creole,56,D
Vincentian Creole,56,A
Krio (Sierra Leone Creole),56,D
Liberian Settler English,56,D
Vernacular Liberian English,56,D
Ghanaian English,56,D
Ghanaian Pidgin,56,D
Nigerian English,56,?
Nigerian Pidgin,56,D
Cameroon English,56,D
Cameroon Pidgin,56,A
Tanzanian English,56,D
Kenyan English,56,D
Ugandan English,56,D
White Zimbabwean English,56,D
Black South African English,56,C
Indian South African English,56,C
White South African English,56,D
Indian English,56,B
Pakistani English,56,D
Butler English,56,D
Sri Lankan English,56,D
Hong Kong English,56,D
Colloquial Singapore English (Singlish),56,D
Malaysian English,56,A
Australian English,56,C
Australian Vernacular English,56,X
Aboriginal English,56,X
Roper River Creole (Kriol),56,X
Torres Strait Creole,56,X
New Zealand English,56,B
Norfolk Island/ Pitcairn English,56,X
Palmerston English,56,D
Acrolectal Fiji English,56,D
Pure Fiji English (basilectal FijiE),56,B
Bislama,56,X
Tok Pisin,56,X
Hawaiʼi Creole,56,D
Falkland Islands English,56,B
St. Helena English,56,A
Tristan da Cunha English,56,C
Philippine English,56,D
Cape Flats English,56,D
Orkney and Shetland English,57,D
Scottish English,57,D
Irish English,57,D
Manx English,57,D
Welsh English,57,D
English dialects in the North of England,57,D
English dialects in the Southwest of England,57,D
East Anglian English,57,D
English dialects in the Southeast of England,57,D
Channel Islands English,57,D
British Creole,57,D
Maltese English,57,D
Newfoundland English,57,D
Colloquial American English,57,D
Urban African American Vernacular English,57,C
Rural African American Vernacular English,57,B
Earlier African American Vernacular English,57,D
Ozark English,57,D
Appalachian English,57,D
Southeast American enclave dialects,57,D
Gullah,57,D
Chicano English,57,X
Bahamian English,57,D
Bahamian Creole,57,B
Barbadian Creole (Bajan),57,D
Jamaican English,57,C
Jamaican Creole,57,B
San Andrés Creole,57,C
Belizean Creole,57,A
Guyanese Creole (Creolese),57,D
Eastern Maroon Creole,57,X
Saramaccan,57,D
Sranan,57,X
Trinidadian Creole,57,B
Vincentian Creole,57,A
Krio (Sierra Leone Creole),57,D
Liberian Settler English,57,B
Vernacular Liberian English,57,B
Ghanaian English,57,C
Ghanaian Pidgin,57,A
Nigerian English,57,D
Nigerian Pidgin,57,A
Cameroon English,57,C
Cameroon Pidgin,57,D
Tanzanian English,57,D
Kenyan English,57,D
Ugandan English,57,D
White Zimbabwean English,57,D
Black South African English,57,D
Indian South African English,57,D
White South African English,57,D
Indian English,57,C
Pakistani English,57,D
Butler English,57,A
Sri Lankan English,57,D
Hong Kong English,57,A
Colloquial Singapore English (Singlish),57,A
Malaysian English,57,B
Australian English,57,X
Australian Vernacular English,57,X
Aboriginal English,57,B
Roper River Creole (Kriol),57,C
Torres Strait Creole,57,A
New Zealand English,57,D
Norfolk Island/ Pitcairn English,57,A
Palmerston English,57,B
Acrolectal Fiji English,57,B
Pure Fiji English (basilectal FijiE),57,B
Bislama,57,X
Tok Pisin,57,X
Hawaiʼi Creole,57,C
Falkland Islands English,57,D
St. Helena English,57,B
Tristan da Cunha English,57,C
Philippine English,57,C
Cape Flats English,57,D
Orkney and Shetland English,58,D
Scottish English,58,D
Irish English,58,D
Manx English,58,D
Welsh English,58,D
English dialects in the North of England,58,D
English dialects in the Southwest of England,58,D
East Anglian English,58,D
English dialects in the Southeast of England,58,D
Channel Islands English,58,D
British Creole,58,D
Maltese English,58,D
Newfoundland English,58,D
Colloquial American English,58,D
Urban African American Vernacular English,58,C
Rural African American Vernacular English,58,C
Earlier African American Vernacular English,58,B
Ozark English,58,?
Appalachian English,58,D
Southeast American enclave dialects,58,D
Gullah,58,D
Chicano English,58,D
Bahamian English,58,D
Bahamian Creole,58,B
Barbadian Creole (Bajan),58,D
Jamaican English,58,C
Jamaican Creole,58,A
San Andrés Creole,58,C
Belizean Creole,58,A
Guyanese Creole (Creolese),58,D
Eastern Maroon Creole,58,X
Saramaccan,58,D
Sranan,58,X
Trinidadian Creole,58,B
Vincentian Creole,58,A
Krio (Sierra Leone Creole),58,B
Liberian Settler English,58,B
Vernacular Liberian English,58,B
Ghanaian English,58,C
Ghanaian Pidgin,58,A
Nigerian English,58,D
Nigerian Pidgin,58,A
Cameroon English,58,C
Cameroon Pidgin,58,?
Tanzanian English,58,D
Kenyan English,58,D
Ugandan English,58,D
White Zimbabwean English,58,D
Black South African English,58,D
Indian South African English,58,D
White South African English,58,D
Indian English,58,C
Pakistani English,58,D
Butler English,58,A
Sri Lankan English,58,D
Hong Kong English,58,A
Colloquial Singapore English (Singlish),58,A
Malaysian English,58,B
Australian English,58,D
Australian Vernacular English,58,X
Aboriginal English,58,B
Roper River Creole (Kriol),58,X
Torres Strait Creole,58,A
New Zealand English,58,D
Norfolk Island/ Pitcairn English,58,A
Palmerston English,58,B
Acrolectal Fiji English,58,B
Pure Fiji English (basilectal FijiE),58,B
Bislama,58,X
Tok Pisin,58,X
Hawaiʼi Creole,58,B
Falkland Islands English,58,D
St. Helena English,58,B
Tristan da Cunha English,58,C
Philippine English,58,C
Cape Flats English,58,D
Orkney and Shetland English,59,?
Scottish English,59,D
Irish English,59,D
Manx English,59,D
Welsh English,59,D
English dialects in the North of England,59,D
English dialects in the Southwest of England,59,?
East Anglian English,59,D
English dialects in the Southeast of England,59,C
Channel Islands English,59,D
British Creole,59,C
Maltese English,59,C
Newfoundland English,59,?
Colloquial American English,59,?
Urban African American Vernacular English,59,D
Rural African American Vernacular English,59,B
Earlier African American Vernacular English,59,C
Ozark English,59,D
Appalachian English,59,D
Southeast American enclave dialects,59,C
Gullah,59,D
Chicano English,59,D
Bahamian English,59,D
Bahamian Creole,59,D
Barbadian Creole (Bajan),59,D
Jamaican English,59,?
Jamaican Creole,59,?
San Andrés Creole,59,D
Belizean Creole,59,D
Guyanese Creole (Creolese),59,D
Eastern Maroon Creole,59,X
Saramaccan,59,A
Sranan,59,?
Trinidadian Creole,59,D
Vincentian Creole,59,D
Krio (Sierra Leone Creole),59,B
Liberian Settler English,59,D
Vernacular Liberian English,59,C
Ghanaian English,59,B
Ghanaian Pidgin,59,B
Nigerian English,59,A
Nigerian Pidgin,59,A
Cameroon English,59,A
Cameroon Pidgin,59,A
Tanzanian English,59,B
Kenyan English,59,C
Ugandan English,59,D
White Zimbabwean English,59,D
Black South African English,59,B
Indian South African English,59,D
White South African English,59,D
Indian English,59,A
Pakistani English,59,D
Butler English,59,C
Sri Lankan English,59,D
Hong Kong English,59,B
Colloquial Singapore English (Singlish),59,D
Malaysian English,59,D
Australian English,59,D
Australian Vernacular English,59,X
Aboriginal English,59,D
Roper River Creole (Kriol),59,B
Torres Strait Creole,59,D
New Zealand English,59,C
Norfolk Island/ Pitcairn English,59,?
Palmerston English,59,?
Acrolectal Fiji English,59,?
Pure Fiji English (basilectal FijiE),59,?
Bislama,59,D
Tok Pisin,59,X
Hawaiʼi Creole,59,D
Falkland Islands English,59,D
St. Helena English,59,D
Tristan da Cunha English,59,D
Philippine English,59,D
Cape Flats English,59,D
Orkney and Shetland English,60,A
Scottish English,60,B
Irish English,60,A
Manx English,60,A
Welsh English,60,B
English dialects in the North of England,60,A
English dialects in the Southwest of England,60,B
East Anglian English,60,D
English dialects in the Southeast of England,60,D
Channel Islands English,60,D
British Creole,60,D
Maltese English,60,B
Newfoundland English,60,B
Colloquial American English,60,C
Urban African American Vernacular English,60,D
Rural African American Vernacular English,60,D
Earlier African American Vernacular English,60,D
Ozark English,60,A
Appalachian English,60,D
Southeast American enclave dialects,60,C
Gullah,60,B
Chicano English,60,?
Bahamian English,60,C
Bahamian Creole,60,D
Barbadian Creole (Bajan),60,C
Jamaican English,60,C
Jamaican Creole,60,C
San Andrés Creole,60,D
Belizean Creole,60,D
Guyanese Creole (Creolese),60,D
Eastern Maroon Creole,60,X
Saramaccan,60,X
Sranan,60,C
Trinidadian Creole,60,A
Vincentian Creole,60,D
Krio (Sierra Leone Creole),60,D
Liberian Settler English,60,D
Vernacular Liberian English,60,C
Ghanaian English,60,D
Ghanaian Pidgin,60,D
Nigerian English,60,D
Nigerian Pidgin,60,D
Cameroon English,60,D
Cameroon Pidgin,60,B
Tanzanian English,60,B
Kenyan English,60,?
Ugandan English,60,B
White Zimbabwean English,60,C
Black South African English,60,B
Indian South African English,60,D
White South African English,60,D
Indian English,60,A
Pakistani English,60,B
Butler English,60,B
Sri Lankan English,60,D
Hong Kong English,60,A
Colloquial Singapore English (Singlish),60,D
Malaysian English,60,D
Australian English,60,?
Australian Vernacular English,60,X
Aboriginal English,60,D
Roper River Creole (Kriol),60,X
Torres Strait Creole,60,?
New Zealand English,60,A
Norfolk Island/ Pitcairn English,60,?
Palmerston English,60,A
Acrolectal Fiji English,60,B
Pure Fiji English (basilectal FijiE),60,A
Bislama,60,D
Tok Pisin,60,X
Hawaiʼi Creole,60,D
Falkland Islands English,60,D
St. Helena English,60,B
Tristan da Cunha English,60,C
Philippine English,60,B
Cape Flats English,60,D
Orkney and Shetland English,61,D
Scottish English,61,D
Irish English,61,D
Manx English,61,D
Welsh English,61,D
English dialects in the North of England,61,D
English dialects in the Southwest of England,61,C
East Anglian English,61,D
English dialects in the Southeast of England,61,D
Channel Islands English,61,D
British Creole,61,D
Maltese English,61,?
Newfoundland English,61,?
Colloquial American English,61,X
Urban African American Vernacular English,61,D
Rural African American Vernacular English,61,C
Earlier African American Vernacular English,61,D
Ozark English,61,D
Appalachian English,61,D
Southeast American enclave dialects,61,C
Gullah,61,D
Chicano English,61,D
Bahamian English,61,D
Bahamian Creole,61,D
Barbadian Creole (Bajan),61,D
Jamaican English,61,C
Jamaican Creole,61,?
San Andrés Creole,61,D
Belizean Creole,61,D
Guyanese Creole (Creolese),61,A
Eastern Maroon Creole,61,X
Saramaccan,61,D
Sranan,61,D
Trinidadian Creole,61,D
Vincentian Creole,61,D
Krio (Sierra Leone Creole),61,D
Liberian Settler English,61,D
Vernacular Liberian English,61,D
Ghanaian English,61,D
Ghanaian Pidgin,61,D
Nigerian English,61,D
Nigerian Pidgin,61,D
Cameroon English,61,D
Cameroon Pidgin,61,?
Tanzanian English,61,B
Kenyan English,61,C
Ugandan English,61,B
White Zimbabwean English,61,D
Black South African English,61,C
Indian South African English,61,D
White South African English,61,D
Indian English,61,C
Pakistani English,61,B
Butler English,61,B
Sri Lankan English,61,D
Hong Kong English,61,D
Colloquial Singapore English (Singlish),61,D
Malaysian English,61,D
Australian English,61,X
Australian Vernacular English,61,X
Aboriginal English,61,D
Roper River Creole (Kriol),61,X
Torres Strait Creole,61,?
New Zealand English,61,D
Norfolk Island/ Pitcairn English,61,?
Palmerston English,61,C
Acrolectal Fiji English,61,B
Pure Fiji English (basilectal FijiE),61,A
Bislama,61,D
Tok Pisin,61,X
Hawaiʼi Creole,61,D
Falkland Islands English,61,D
St. Helena English,61,C
Tristan da Cunha English,61,D
Philippine English,61,B
Cape Flats English,61,D
Orkney and Shetland English,62,D
Scottish English,62,D
Irish English,62,D
Manx English,62,D
Welsh English,62,C
English dialects in the North of England,62,B
English dialects in the Southwest of England,62,C
East Anglian English,62,D
English dialects in the Southeast of England,62,D
Channel Islands English,62,D
British Creole,62,D
Maltese English,62,B
Newfoundland English,62,?
Colloquial American English,62,X
Urban African American Vernacular English,62,D
Rural African American Vernacular English,62,C
Earlier African American Vernacular English,62,D
Ozark English,62,D
Appalachian English,62,D
Southeast American enclave dialects,62,C
Gullah,62,C
Chicano English,62,D
Bahamian English,62,C
Bahamian Creole,62,D
Barbadian Creole (Bajan),62,C
Jamaican English,62,B
Jamaican Creole,62,C
San Andrés Creole,62,D
Belizean Creole,62,B
Guyanese Creole (Creolese),62,D
Eastern Maroon Creole,62,X
Saramaccan,62,B
Sranan,62,D
Trinidadian Creole,62,B
Vincentian Creole,62,B
Krio (Sierra Leone Creole),62,D
Liberian Settler English,62,C
Vernacular Liberian English,62,C
Ghanaian English,62,B
Ghanaian Pidgin,62,C
Nigerian English,62,A
Nigerian Pidgin,62,A
Cameroon English,62,A
Cameroon Pidgin,62,?
Tanzanian English,62,D
Kenyan English,62,A
Ugandan English,62,D
White Zimbabwean English,62,C
Black South African English,62,C
Indian South African English,62,B
White South African English,62,D
Indian English,62,A
Pakistani English,62,B
Butler English,62,B
Sri Lankan English,62,B
Hong Kong English,62,A
Colloquial Singapore English (Singlish),62,A
Malaysian English,62,A
Australian English,62,?
Australian Vernacular English,62,X
Aboriginal English,62,A
Roper River Creole (Kriol),62,A
Torres Strait Creole,62,A
New Zealand English,62,D
Norfolk Island/ Pitcairn English,62,?
Palmerston English,62,D
Acrolectal Fiji English,62,C
Pure Fiji English (basilectal FijiE),62,A
Bislama,62,B
Tok Pisin,62,X
Hawaiʼi Creole,62,B
Falkland Islands English,62,B
St. Helena English,62,B
Tristan da Cunha English,62,?
Philippine English,62,B
Cape Flats English,62,B
Orkney and Shetland English,63,D
Scottish English,63,D
Irish English,63,D
Manx English,63,D
Welsh English,63,C
English dialects in the North of England,63,B
English dialects in the Southwest of England,63,C
East Anglian English,63,D
English dialects in the Southeast of England,63,D
Channel Islands English,63,D
British Creole,63,D
Maltese English,63,B
Newfoundland English,63,?
Colloquial American English,63,X
Urban African American Vernacular English,63,D
Rural African American Vernacular English,63,D
Earlier African American Vernacular English,63,D
Ozark English,63,D
Appalachian English,63,D
Southeast American enclave dialects,63,D
Gullah,63,A
Chicano English,63,D
Bahamian English,63,C
Bahamian Creole,63,D
Barbadian Creole (Bajan),63,D
Jamaican English,63,B
Jamaican Creole,63,B
San Andrés Creole,63,D
Belizean Creole,63,D
Guyanese Creole (Creolese),63,A
Eastern Maroon Creole,63,X
Saramaccan,63,B
Sranan,63,D
Trinidadian Creole,63,B
Vincentian Creole,63,B
Krio (Sierra Leone Creole),63,A
Liberian Settler English,63,C
Vernacular Liberian English,63,B
Ghanaian English,63,C
Ghanaian Pidgin,63,B
Nigerian English,63,D
Nigerian Pidgin,63,A
Cameroon English,63,C
Cameroon Pidgin,63,A
Tanzanian English,63,D
Kenyan English,63,B
Ugandan English,63,D
White Zimbabwean English,63,D
Black South African English,63,C
Indian South African English,63,B
White South African English,63,D
Indian English,63,A
Pakistani English,63,B
Butler English,63,B
Sri Lankan English,63,B
Hong Kong English,63,A
Colloquial Singapore English (Singlish),63,A
Malaysian English,63,B
Australian English,63,X
Australian Vernacular English,63,X
Aboriginal English,63,A
Roper River Creole (Kriol),63,A
Torres Strait Creole,63,A
New Zealand English,63,D
Norfolk Island/ Pitcairn English,63,?
Palmerston English,63,?
Acrolectal Fiji English,63,C
Pure Fiji English (basilectal FijiE),63,A
Bislama,63,D
Tok Pisin,63,X
Hawaiʼi Creole,63,B
Falkland Islands English,63,D
St. Helena English,63,B
Tristan da Cunha English,63,C
Philippine English,63,B
Cape Flats English,63,B
Orkney and Shetland English,64,B
Scottish English,64,D
Irish English,64,A
Manx English,64,A
Welsh English,64,D
English dialects in the North of England,64,B
English dialects in the Southwest of England,64,C
East Anglian English,64,D
English dialects in the Southeast of England,64,D
Channel Islands English,64,B
British Creole,64,D
Maltese English,64,B
Newfoundland English,64,C
Colloquial American English,64,X
Urban African American Vernacular English,64,D
Rural African American Vernacular English,64,D
Earlier African American Vernacular English,64,D
Ozark English,64,D
Appalachian English,64,D
Southeast American enclave dialects,64,C
Gullah,64,C
Chicano English,64,?
Bahamian English,64,B
Bahamian Creole,64,D
Barbadian Creole (Bajan),64,C
Jamaican English,64,B
Jamaican Creole,64,B
San Andrés Creole,64,D
Belizean Creole,64,D
Guyanese Creole (Creolese),64,D
Eastern Maroon Creole,64,X
Saramaccan,64,D
Sranan,64,D
Trinidadian Creole,64,D
Vincentian Creole,64,D
Krio (Sierra Leone Creole),64,D
Liberian Settler English,64,D
Vernacular Liberian English,64,C
Ghanaian English,64,B
Ghanaian Pidgin,64,B
Nigerian English,64,D
Nigerian Pidgin,64,C
Cameroon English,64,C
Cameroon Pidgin,64,?
Tanzanian English,64,C
Kenyan English,64,C
Ugandan English,64,B
White Zimbabwean English,64,D
Black South African English,64,C
Indian South African English,64,D
White South African English,64,D
Indian English,64,A
Pakistani English,64,B
Butler English,64,B
Sri Lankan English,64,D
Hong Kong English,64,A
Colloquial Singapore English (Singlish),64,D
Malaysian English,64,B
Australian English,64,?
Australian Vernacular English,64,X
Aboriginal English,64,C
Roper River Creole (Kriol),64,D
Torres Strait Creole,64,B
New Zealand English,64,D
Norfolk Island/ Pitcairn English,64,?
Palmerston English,64,B
Acrolectal Fiji English,64,B
Pure Fiji English (basilectal FijiE),64,A
Bislama,64,D
Tok Pisin,64,X
Hawaiʼi Creole,64,D
Falkland Islands English,64,D
St. Helena English,64,D
Tristan da Cunha English,64,C
Philippine English,64,B
Cape Flats English,64,D
Orkney and Shetland English,65,D
Scottish English,65,D
Irish English,65,D
Manx English,65,D
Welsh English,65,D
English dialects in the North of England,65,C
English dialects in the Southwest of England,65,C
East Anglian English,65,D
English dialects in the Southeast of England,65,D
Channel Islands English,65,D
British Creole,65,D
Maltese English,65,B
Newfoundland English,65,?
Colloquial American English,65,X
Urban African American Vernacular English,65,D
Rural African American Vernacular English,65,D
Earlier African American Vernacular English,65,D
Ozark English,65,D
Appalachian English,65,D
Southeast American enclave dialects,65,D
Gullah,65,D
Chicano English,65,D
Bahamian English,65,D
Bahamian Creole,65,D
Barbadian Creole (Bajan),65,D
Jamaican English,65,C
Jamaican Creole,65,D
San Andrés Creole,65,D
Belizean Creole,65,D
Guyanese Creole (Creolese),65,D
Eastern Maroon Creole,65,X
Saramaccan,65,D
Sranan,65,D
Trinidadian Creole,65,D
Vincentian Creole,65,D
Krio (Sierra Leone Creole),65,D
Liberian Settler English,65,D
Vernacular Liberian English,65,D
Ghanaian English,65,D
Ghanaian Pidgin,65,D
Nigerian English,65,D
Nigerian Pidgin,65,D
Cameroon English,65,D
Cameroon Pidgin,65,?
Tanzanian English,65,?
Kenyan English,65,?
Ugandan English,65,D
White Zimbabwean English,65,D
Black South African English,65,B
Indian South African English,65,C
White South African English,65,D
Indian English,65,D
Pakistani English,65,B
Butler English,65,B
Sri Lankan English,65,D
Hong Kong English,65,D
Colloquial Singapore English (Singlish),65,D
Malaysian English,65,D
Australian English,65,X
Australian Vernacular English,65,X
Aboriginal English,65,C
Roper River Creole (Kriol),65,?
Torres Strait Creole,65,B
New Zealand English,65,D
Norfolk Island/ Pitcairn English,65,?
Palmerston English,65,B
Acrolectal Fiji English,65,?
Pure Fiji English (basilectal FijiE),65,X
Bislama,65,D
Tok Pisin,65,X
Hawaiʼi Creole,65,D
Falkland Islands English,65,D
St. Helena English,65,D
Tristan da Cunha English,65,D
Philippine English,65,B
Cape Flats English,65,D
Orkney and Shetland English,66,D
Scottish English,66,D
Irish English,66,C
Manx English,66,D
Welsh English,66,D
English dialects in the North of England,66,D
English dialects in the Southwest of England,66,X
East Anglian English,66,D
English dialects in the Southeast of England,66,D
Channel Islands English,66,D
British Creole,66,B
Maltese English,66,D
Newfoundland English,66,D
Colloquial American English,66,B
